id,country,sth1,sth2,sth3,sth4,sth5,sth6,sth7,sth8,sth9
28,Hiszpania,40 397 842,40 448 191,40 491 051,40 525 002,46 754 784,47 042 984,48 563 476,48 958 159,49 331 076
29,Kenia,34 707 817,36 913 721,37 953 838,39 002 772,41 070 934,43 013 341,46 790 758,47 615 739,48 397 527
30,Kolumbia,43 593 035,44 379 598,45 013 674,45 644 023,44 725 543,45 239 079,47 220 856,47 698 524,48 168 996
31,Argentyna,39 921 833,40 301 927,40 677 348,40 913 584,41 769 726,42 192 494,43 886 748,44 293 293,44 694 198
32,Sudan,41 236 378,39 379 358,40 218 455,41 087 825,45 047 502,34 206 710,36 729 501,37 345 935,43 120 843
33,Algieria,32 930 091,33 333 216,33 769 669,34 178 188,34 994 937,35 406 303,40 263 711,40 969 443,41 657 488
34,Uganda,28 195 754,30 262 610,31 367 972,32 369 558,34 612 250,35 873 253,38 319 241,39 570 125,40 853 749
35,Irak,26 783 383,27 499 638,28 221 181,28 945 657,30 399 572,31 129 225,38 146 025,39 192 111,40 194 216
36,Polska,38 536 869,38 518 241,38 500 696,38 482 919,38 441 588,38 533 299,38 523 261,38 476 269,38 420 687
37,Ukraina,46 710 816,46 299 862,45 994 287,45 700 395,45 134 707,44 854 065,42 504 274,44 033 874,37 289 000
38,Kanada,33 098 932,33 390 141,33 212 696,33 487 208,34 030 589,34 300 083,35 362 905,35 623 680,35 881 659
39,Afganistan,31 056 997,31 889 923,32 738 376,33 609 937,29 835 392,30 419 928,33 332 025,34 124 811,34 940 837
40,Maroko,33 241 259,33 757 175,34 343 219,34 859 364,31 968 361,32 309 239,33 655 786,33 986 655,34 314 130
41,Arabia Saudyjska,27 019 731,27 601 038,28 161 417,28 686 633,26 131 703,26 534 504,28 160 273,28 571 770,33 091 113
42,Malezja,24 385 858,24 821 286,25 274 133,25 715 819,28 728 607,29 179 952,30 949 962,31 381 992,31 809 660
43,Wenezuela,25 730 435,26 023 528,26 414 815,26 814 843,27 635 743,28 047 938,30 912 302,31 304 016,31 689 176
44,Peru,28 302 603,28 674 757,29 180 899,29 546 963,29 248 943,29 549 517,30 741 062,31 036 656,31 331 288
45,Angola,12 127 071,12 263 596,12 531 357,12 799 293,13 338 541,18 056 072,20 172 332,29 310 273,30 355 880
46,Uzbekistan,27 307 134,27 780 059,28 268 440,27 606 007,28 128 600,28 394 180,29 473 614,29 748 859,30 023 709
47,Nepal,28 287 147,28 901 790,29 519 114,28 563 377,29 391 883,29 890 686,29 033 914,29 384 297,29 717 587
48,Jemen,21 456 188,22 230 531,23 013 376,23 822 783,24 133 492,24 771 809,27 392 779,28 036 829,28 667 230
49,Ghana,22 409 572,22 931 299,23 382 848,23 832 495,24 791 073,25 241 998,26 908 262,27 499 924,28 108 221
50,Mozambik,19 686 505,20 905 585,21 284 701,21 669 278,22 948 858,23 515 934,25 930 150,26 573 706,27 233 789
51,Wybrzeże Kości Słoniowej,17 654 843,18 013 409,18 373 060,20 617 068,21 504 162,21 952 093,23 740 424,24 184 810,26 260 582
52,Madagaskar,18 595 469,19 448 815,20 042 551,20 653 556,21 926 221,22 585 517,24 430 325,25 054 161,25 683 610
53,Kamerun,17 340 702,18 060 382,18 467 692,18 879 301,19 711 291,20 129 878,24 360 803,24 994 885,25 640 965
54,Korea Północna,23 113 019,23 301 725,23 479 089,22 665 345,24 457 492,24 589 122,25 115 311,25 248 140,25 381 085
55,Republika Chińska,23 036 087,22 858 872,22 920 946,22 974 347,23 071 779,23 113 901,23 464 787,23 508 428,23 545 963
56,Australia,20 264 082,20 434 176,20 600 856,21 262 641,21 766 711,22 015 576,22 992 654,23 232 413,23 470 145
57,Sri Lanka,20 222 240,20 926 315,21 128 773,21 324 791,21 283 913,21 481 334,22 235 000,22 409 381,22 576 592
58,Rumunia,22 303 552,22 276 056,22 246 862,22 215 421,21 904 551,21 848 504,21 599 736,21 529 967,21 457 116
59,Niger,12 525 094,12 894 865,13 272 679,15 306 252,16 468 886,17 078 839,18 638 600,19 245 344,19 866 231
60,Malawi,13 013 926,13 603 181,13 931 831,14 268 711,15 879 252,16 323 044,18 570 321,19 196 246,19 842 560
61,Burkina Faso,13 902 972,14 326 203,15 264 735,15 746 232,16 751 455,17 275 115,19 512 533,20 107 509,19 727 715
