idx,commune,district,voivodeship,sth1,sth2,sth3,sth4
3202053,gmina Pełczyce,choszczeński,zachodniopomorskie,"200,72",7743,"38,58","-7,55"
3014033,gmina Międzychód,międzychodzki,wielkopolskie,"307,04",18361,"59,8","-3,17"
2208042,gmina Nowa Wieś Lęborska,lęborski,pomorskie,"270,45",13692,"50,63","2,72"
1437052,gmina Siemiątkowo,żuromiński,mazowieckie,"113,4",3439,"30,33","-11,74"
1809072,gmina Stary Dzików,lubaczowski,podkarpackie,"155,7",4126,"26,5","-11,83"
0810021,Żagań,żagański,lubuskie,"40,38",25506,"631,65","-7,34"
0202011,Bielawa,dzierżoniowski,dolnośląskie,"36,21",29713,"820,57","-6,23"
2214062,gmina Tczew,tczewski,pomorskie,"170,6",15191,"89,04","21,59"
0406012,gmina Grudziądz,grudziądzki,kujawsko-pomorskie,"165,33",13008,"78,68","12,4"
2215092,gmina Szemud,wejherowski,pomorskie,"176,91",18452,"104,3","22,47"
2613042,gmina Radków,włoszczowski,świętokrzyskie,"88,1",2500,"28,38","-2,12"
2613052,gmina Secemin,włoszczowski,świętokrzyskie,"162,6",4783,"29,42","-4,35"
1821012,gmina Baligród,leski,podkarpackie,"158,23",3172,"20,05","-0,32"
2010092,gmina Siemiatycze,siemiatycki,podlaskie,"226,81",6068,"26,75","-2,62"
0402053,gmina Górzno,brodnicki,kujawsko-pomorskie,"119,68",3904,"32,62","-6,66"
2411062,gmina Nędza,raciborski,śląskie,"57,22",7462,"130,41","1,88"
